MMTS (100 broadcast interval)
Tick,Average error
827,425.5148551947395
828,425.5148551947395
829,425.5148551947395
830,425.5148551947395
831,425.5148551947394
832,425.5148551947394
833,425.5148551947394
834,425.5148551947394
835,425.5148551947394
836,425.5148551947395
837,425.5148551947394
838,425.5148551947394
839,425.5148551947395
840,425.5148551947395
841,425.5148551947394
842,425.5148551947394
843,425.5148551947394
844,425.5148551947394
845,425.5148551947394
846,425.5148551947395
847,425.5148551947394
848,425.5148551947394
849,425.5148551947395
850,425.5148551947395
851,425.5148551947395
852,425.5148551947395
853,425.5148551947395
854,425.5148551947395
855,425.5148551947394
856,425.5148551947395
857,425.5148551947395
858,425.5148551947395
859,425.5148551947395
860,425.5148551947395
861,425.5148551947395
862,425.5148551947395
863,425.5148551947396
864,425.5148551947395
865,425.5148551947397
866,425.51485519473965
867,425.51485519473965
868,425.51485519473965
869,425.51485519473965
870,425.5148551947396
871,425.5148551947396
872,425.51485519473965
873,425.5148551947396
874,425.51485519473965
875,425.51485519473965
876,425.5148551947395
877,425.5148551947395
878,425.51485519473965
879,425.51485519473965
880,425.51485519473965
881,425.51485519473965
882,425.51485519473977
883,425.5148551947396
884,425.51485519473965
885,425.51485519473965
886,425.51485519473965
887,425.51485519473965
888,425.51485519473965
889,425.51485519473965
890,425.51485519473965
891,425.51485519473965
892,425.5148551947396
893,425.51485519473965
894,425.5148551947395
